EventSequence,Label
"[2, 1, 1, 1, 3, 4, 5, 5, 5, 3, 4, 3, 4, 6, 10, 6, 6, 10, 6, 10, 6, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 3, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 10, 6, 6, 10, 6, 6, 10, 6, 5, 5, 5, 9]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 3, 10, 10, 6, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 4, 3, 4, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 3, 4, 3, 4, 3, 4, 5, 6, 10, 6, 10, 6, 6, 6, 10, 6, 6, 6, 10, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 6, 10, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 3, 4, 3, 4, 5, 3, 4, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 5, 5, 3, 4, 5, 10, 10, 6, 3, 3, 3, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 3, 4, 5, 5, 5, 6, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 10, 6, 3, 6, 10, 6, 6, 10, 6, 10, 6, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[1, 1, 2, 1, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 6, 10, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 10, 6, 6, 10, 6, 10, 6, 6, 10, 6, 6, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 5, 3, 4, 3, 4, 5, 5, 10, 6, 10, 3, 3, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 5, 5, 4, 5, 3, 10, 10, 6, 3, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 3, 4, 5, 5, 5, 3, 4, 3, 4, 3, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 3, 4, 4, 5, 5, 3, 4, 3, 10, 6, 10, 3, 3, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 10, 6, 6, 10, 6, 6, 10, 6, 5, 5, 5]",Normal
"[1, 1, 2, 1, 3, 4, 5, 3, 4, 3, 4, 5, 5, 10, 6, 10, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 3, 4, 3, 4, 5, 3, 4, 6, 10, 6, 10, 6, 6, 6, 6, 10, 10, 6, 6, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 3, 4, 3, 4, 3, 4, 5, 6, 10, 6, 6, 10, 6, 10, 6, 6, 6, 6, 10, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 10, 6, 6, 10, 6, 6, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 3, 10, 6, 10, 3, 3, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 6, 10, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 5, 5, 3, 4, 5, 5, 5, 5, 9, 9, 9]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 10, 6, 6, 6, 10, 6, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 10, 6, 6, 10, 6, 6, 6, 10, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 3, 4, 5, 5, 3, 4, 3, 4, 6, 10, 6, 6, 6, 10, 10, 6, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 6, 10, 10, 6, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 6, 10, 6, 6, 10, 5, 5, 5, 9]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 6, 6, 6, 6, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 3, 4, 5, 5, 5, 10, 6, 10, 3, 3, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 5, 3, 4, 5, 5, 10, 10, 6, 3, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 6, 6, 10, 6, 6, 10, 6, 10, 6, 5, 5, 5]",Normal
"[2, 1, 1, 1, 5, 5, 5, 3, 4, 3, 4, 3, 4, 5, 5, 5]",Normal
"[1, 1, 2, 1, 3, 4, 4, 5, 5, 3, 4, 3, 5, 10, 10, 6, 3, 3, 5, 5, 5]",Normal
"[1, 1, 1, 2, 3, 4, 3, 4, 5, 3, 4, 5, 5, 10, 10, 6, 3, 3, 5, 5, 5]",Normal
"[1, 2, 1, 1, 3, 4, 3, 4, 3, 4, 5, 5, 5, 3, 3, 10, 10, 6, 3, 5, 5, 5]",Normal
