Epoch 1 	 Training Loss: 56.0459638557
Validation Epoch: 1 	 Loss: 0.2352082729
Epoch 2 	 Training Loss: 0.2156693426
Validation Epoch: 2 	 Loss: 0.1983941793
Epoch 3 	 Training Loss: 0.1786760851
Validation Epoch: 3 	 Loss: 0.1619006991
Epoch 4 	 Training Loss: 0.1503254286
Validation Epoch: 4 	 Loss: 0.1369823664
Epoch 5 	 Training Loss: 0.1274661848
Validation Epoch: 5 	 Loss: 0.1131692976
Epoch 6 	 Training Loss: 0.1109403160
Validation Epoch: 6 	 Loss: 0.1019450873
Epoch 7 	 Training Loss: 0.0962534888
Validation Epoch: 7 	 Loss: 0.0910334066
Epoch 8 	 Training Loss: 0.0851790231
Validation Epoch: 8 	 Loss: 0.0806809515
Epoch 9 	 Training Loss: 0.0754970479
Validation Epoch: 9 	 Loss: 0.0710836798
Epoch 10 	 Training Loss: 0.0676424003
Validation Epoch: 10 	 Loss: 0.0632706210
Epoch 11 	 Training Loss: 0.0612228720
Validation Epoch: 11 	 Loss: 0.0599746481
Epoch 12 	 Training Loss: 0.0556727137
Validation Epoch: 12 	 Loss: 0.0532279313
Epoch 13 	 Training Loss: 0.0507922786
Validation Epoch: 13 	 Loss: 0.0490301289
Epoch 14 	 Training Loss: 0.0466216772
Validation Epoch: 14 	 Loss: 0.0456985720
Epoch 15 	 Training Loss: 0.0428248615
Validation Epoch: 15 	 Loss: 0.0413268097
Epoch 16 	 Training Loss: 0.0391711986
Validation Epoch: 16 	 Loss: 0.0385516360
Epoch 17 	 Training Loss: 0.0366129621
Validation Epoch: 17 	 Loss: 0.0357963741
Epoch 18 	 Training Loss: 0.0341869270
Validation Epoch: 18 	 Loss: 0.0338441357
Epoch 19 	 Training Loss: 0.0317272668
Validation Epoch: 19 	 Loss: 0.0308610294
Epoch 20 	 Training Loss: 0.0296050866
Validation Epoch: 20 	 Loss: 0.0292455405
Epoch 21 	 Training Loss: 0.0276216782
Validation Epoch: 21 	 Loss: 0.0271704122
Epoch 22 	 Training Loss: 0.0257774329
Validation Epoch: 22 	 Loss: 0.0255934820
Epoch 23 	 Training Loss: 0.0242089654
Validation Epoch: 23 	 Loss: 0.0235028695
Epoch 24 	 Training Loss: 0.0228996234
Validation Epoch: 24 	 Loss: 0.0223388541
Epoch 25 	 Training Loss: 0.0214004436
Validation Epoch: 25 	 Loss: 0.0218993630
Epoch 26 	 Training Loss: 0.0200826707
Validation Epoch: 26 	 Loss: 0.0195748731
Epoch 27 	 Training Loss: 0.0189873521
Validation Epoch: 27 	 Loss: 0.0170121118
Epoch 28 	 Training Loss: 0.0177902119
Validation Epoch: 28 	 Loss: 0.0154693536
Epoch 29 	 Training Loss: 0.0169529311
Validation Epoch: 29 	 Loss: 0.0144940531
Epoch 30 	 Training Loss: 0.0160056826
Validation Epoch: 30 	 Loss: 0.0145535078
Epoch 31 	 Training Loss: 0.0152484910
Validation Epoch: 31 	 Loss: 0.0136090219
Epoch 32 	 Training Loss: 0.0142943932
Validation Epoch: 32 	 Loss: 0.0127912834
Epoch 33 	 Training Loss: 0.0136645821
Validation Epoch: 33 	 Loss: 0.0123723364
Epoch 34 	 Training Loss: 0.0129052690
Validation Epoch: 34 	 Loss: 0.0120278466
Epoch 35 	 Training Loss: 0.0122843441
Validation Epoch: 35 	 Loss: 0.0113730328
Epoch 36 	 Training Loss: 0.0117345195
Validation Epoch: 36 	 Loss: 0.0116712619
Epoch 37 	 Training Loss: 0.0110045483
Validation Epoch: 37 	 Loss: 0.0114825284
Epoch 38 	 Training Loss: 0.0105713643
Validation Epoch: 38 	 Loss: 0.0103825796
Epoch 39 	 Training Loss: 0.0100931085
Validation Epoch: 39 	 Loss: 0.0100507317
Epoch 40 	 Training Loss: 0.0094759303
Validation Epoch: 40 	 Loss: 0.0096591581
Epoch 41 	 Training Loss: 0.0089606777
Validation Epoch: 41 	 Loss: 0.0093392441
Epoch 42 	 Training Loss: 0.0086891191
Validation Epoch: 42 	 Loss: 0.0100655714
Epoch 43 	 Training Loss: 0.0084722301
Validation Epoch: 43 	 Loss: 0.0095017515
Epoch 44 	 Training Loss: 0.0079045275
Validation Epoch: 44 	 Loss: 0.0082025081
Epoch 45 	 Training Loss: 0.0073912907
Validation Epoch: 45 	 Loss: 0.0081299152
Epoch 46 	 Training Loss: 0.0071985648
Validation Epoch: 46 	 Loss: 0.0077952505
Epoch 47 	 Training Loss: 0.0067460181
Validation Epoch: 47 	 Loss: 0.0073238262
Epoch 48 	 Training Loss: 0.0064343705
Validation Epoch: 48 	 Loss: 0.0066785445
Epoch 49 	 Training Loss: 0.0062110334
Validation Epoch: 49 	 Loss: 0.0064057983
Epoch 50 	 Training Loss: 0.0060991294
Validation Epoch: 50 	 Loss: 0.0061155232
Epoch 51 	 Training Loss: 0.0057394423
Validation Epoch: 51 	 Loss: 0.0063366881
Epoch 52 	 Training Loss: 0.0054834915
Validation Epoch: 52 	 Loss: 0.0060870345
Epoch 53 	 Training Loss: 0.0051203516
Validation Epoch: 53 	 Loss: 0.0054916549
Epoch 54 	 Training Loss: 0.0048813245
Validation Epoch: 54 	 Loss: 0.0050738659
Epoch 55 	 Training Loss: 0.0047341104
Validation Epoch: 55 	 Loss: 0.0047738808
Epoch 56 	 Training Loss: 0.0045042001
Validation Epoch: 56 	 Loss: 0.0047060279
Epoch 57 	 Training Loss: 0.0044040008
Validation Epoch: 57 	 Loss: 0.0047170045
Epoch 58 	 Training Loss: 0.0041279106
Validation Epoch: 58 	 Loss: 0.0044336407
Epoch 59 	 Training Loss: 0.0038791527
Validation Epoch: 59 	 Loss: 0.0046524657
Epoch 60 	 Training Loss: 0.0037443443
Validation Epoch: 60 	 Loss: 0.0041394280
Epoch 61 	 Training Loss: 0.0034549609
Validation Epoch: 61 	 Loss: 0.0039048798
Epoch 62 	 Training Loss: 0.0033744254
Validation Epoch: 62 	 Loss: 0.0030756607
Epoch 63 	 Training Loss: 0.0033501190
Validation Epoch: 63 	 Loss: 0.0038070278
Epoch 64 	 Training Loss: 0.0032257100
Validation Epoch: 64 	 Loss: 0.0037771154
Epoch 65 	 Training Loss: 0.0029943187
Validation Epoch: 65 	 Loss: 0.0035327247
Epoch 66 	 Training Loss: 0.0029078614
Validation Epoch: 66 	 Loss: 0.0026598407
Epoch 67 	 Training Loss: 0.0027098832
Validation Epoch: 67 	 Loss: 0.0031111296
Epoch 68 	 Training Loss: 0.0026079203
Validation Epoch: 68 	 Loss: 0.0031749625
Epoch 69 	 Training Loss: 0.0023996013
Validation Epoch: 69 	 Loss: 0.0024397646
Epoch 70 	 Training Loss: 0.0023008899
Validation Epoch: 70 	 Loss: 0.0022509515
Epoch 71 	 Training Loss: 0.0023237543
Validation Epoch: 71 	 Loss: 0.0018466804
Epoch 72 	 Training Loss: 0.0021065837
Validation Epoch: 72 	 Loss: 0.0020121112
Epoch 73 	 Training Loss: 0.0020808918
Validation Epoch: 73 	 Loss: 0.0020838659
Epoch 74 	 Training Loss: 0.0020141603
Validation Epoch: 74 	 Loss: 0.0018827784
Epoch 75 	 Training Loss: 0.0018921286
Validation Epoch: 75 	 Loss: 0.0020206932
Epoch 76 	 Training Loss: 0.0018597428
Validation Epoch: 76 	 Loss: 0.0020615060
Epoch 77 	 Training Loss: 0.0017084973
Validation Epoch: 77 	 Loss: 0.0018358327
Epoch 78 	 Training Loss: 0.0015918852
Validation Epoch: 78 	 Loss: 0.0016995291
Epoch 79 	 Training Loss: 0.0015121348
Validation Epoch: 79 	 Loss: 0.0016988638
Epoch 80 	 Training Loss: 0.0014389255
Validation Epoch: 80 	 Loss: 0.0014188535
Epoch 81 	 Training Loss: 0.0014704386
Validation Epoch: 81 	 Loss: 0.0016662660
Epoch 82 	 Training Loss: 0.0013371757
Validation Epoch: 82 	 Loss: 0.0016074390
Epoch 83 	 Training Loss: 0.0012240893
Validation Epoch: 83 	 Loss: 0.0018646835
Epoch 84 	 Training Loss: 0.0012539399
Validation Epoch: 84 	 Loss: 0.0015038070
Epoch 85 	 Training Loss: 0.0012627810
Validation Epoch: 85 	 Loss: 0.0011927872
Epoch 86 	 Training Loss: 0.0010867032
Validation Epoch: 86 	 Loss: 0.0012547430
Epoch 87 	 Training Loss: 0.0010672396
Validation Epoch: 87 	 Loss: 0.0011903354
Epoch 88 	 Training Loss: 0.0010766278
Validation Epoch: 88 	 Loss: 0.0012911325
