Epoch 1 	 Training Loss: 150.1174774170
Validation Epoch: 1 	 Loss: 144.7158050537
Epoch 2 	 Training Loss: 142.1809692383
Validation Epoch: 2 	 Loss: 139.0637359619
Epoch 3 	 Training Loss: 135.8359451294
Validation Epoch: 3 	 Loss: 130.8089599609
Epoch 4 	 Training Loss: 121.7258323669
Validation Epoch: 4 	 Loss: 103.4340209961
Epoch 5 	 Training Loss: 62.6430824280
Validation Epoch: 5 	 Loss: 8.7797698975
Epoch 6 	 Training Loss: 5.0683746338
Validation Epoch: 6 	 Loss: 4.3646965027
Epoch 7 	 Training Loss: 1.7640182741
Validation Epoch: 7 	 Loss: 0.0948655605
Epoch 8 	 Training Loss: 0.0665846173
Validation Epoch: 8 	 Loss: 0.0457229465
Epoch 9 	 Training Loss: 0.0367039463
Validation Epoch: 9 	 Loss: 0.0279133059
Epoch 10 	 Training Loss: 0.0245213494
Validation Epoch: 10 	 Loss: 0.0201957710
Epoch 11 	 Training Loss: 0.0181965495
Validation Epoch: 11 	 Loss: 0.0168924294
Epoch 12 	 Training Loss: 0.0151993755
Validation Epoch: 12 	 Loss: 0.0135181360
Epoch 13 	 Training Loss: 0.0126837780
Validation Epoch: 13 	 Loss: 0.0115561066
Epoch 14 	 Training Loss: 0.0109420458
Validation Epoch: 14 	 Loss: 0.0101171983
Epoch 15 	 Training Loss: 0.0097033923
Validation Epoch: 15 	 Loss: 0.0091628507
Epoch 16 	 Training Loss: 0.0086563556
Validation Epoch: 16 	 Loss: 0.0082164267
Epoch 17 	 Training Loss: 0.0078349592
Validation Epoch: 17 	 Loss: 0.0072971666
Epoch 18 	 Training Loss: 0.0070490939
Validation Epoch: 18 	 Loss: 0.0069034505
Epoch 19 	 Training Loss: 0.0064798845
Validation Epoch: 19 	 Loss: 0.0060792533
Epoch 20 	 Training Loss: 0.0059886612
Validation Epoch: 20 	 Loss: 0.0056614927
Epoch 21 	 Training Loss: 0.0053957643
Validation Epoch: 21 	 Loss: 0.0051437011
Epoch 22 	 Training Loss: 0.0049656298
Validation Epoch: 22 	 Loss: 0.0047535505
Epoch 23 	 Training Loss: 0.0046579214
Validation Epoch: 23 	 Loss: 0.0044654207
Epoch 24 	 Training Loss: 0.0043300597
Validation Epoch: 24 	 Loss: 0.0042275880
Epoch 25 	 Training Loss: 0.0041150304
Validation Epoch: 25 	 Loss: 0.0038596161
Epoch 26 	 Training Loss: 0.0037008896
Validation Epoch: 26 	 Loss: 0.0035802596
Epoch 27 	 Training Loss: 0.0034242921
Validation Epoch: 27 	 Loss: 0.0033587487
Epoch 28 	 Training Loss: 0.0031959930
Validation Epoch: 28 	 Loss: 0.0032476245
Epoch 29 	 Training Loss: 0.0030897706
Validation Epoch: 29 	 Loss: 0.0029942784
Epoch 30 	 Training Loss: 0.0028437045
Validation Epoch: 30 	 Loss: 0.0027598238
Epoch 31 	 Training Loss: 0.0026369783
Validation Epoch: 31 	 Loss: 0.0026424695
Epoch 32 	 Training Loss: 0.0025425483
Validation Epoch: 32 	 Loss: 0.0025739821
Epoch 33 	 Training Loss: 0.0023484179
Validation Epoch: 33 	 Loss: 0.0023167268
Epoch 34 	 Training Loss: 0.0022787563
Validation Epoch: 34 	 Loss: 0.0021844991
Epoch 35 	 Training Loss: 0.0021734033
Validation Epoch: 35 	 Loss: 0.0021464452
Epoch 36 	 Training Loss: 0.0020112554
Validation Epoch: 36 	 Loss: 0.0019455724
Epoch 37 	 Training Loss: 0.0019482151
Validation Epoch: 37 	 Loss: 0.0019508572
Epoch 38 	 Training Loss: 0.0018519148
Validation Epoch: 38 	 Loss: 0.0017924682
Epoch 39 	 Training Loss: 0.0017243024
Validation Epoch: 39 	 Loss: 0.0016154388
Epoch 40 	 Training Loss: 0.0016525478
Validation Epoch: 40 	 Loss: 0.0015733824
Epoch 41 	 Training Loss: 0.0015380991
Validation Epoch: 41 	 Loss: 0.0015610781
Epoch 42 	 Training Loss: 0.0015178637
Validation Epoch: 42 	 Loss: 0.0014119894
Epoch 43 	 Training Loss: 0.0014378324
Validation Epoch: 43 	 Loss: 0.0013543785
Epoch 44 	 Training Loss: 0.0013845262
Validation Epoch: 44 	 Loss: 0.0012896959
Epoch 45 	 Training Loss: 0.0013051185
Validation Epoch: 45 	 Loss: 0.0012888315
Epoch 46 	 Training Loss: 0.0012369433
Validation Epoch: 46 	 Loss: 0.0012581139
Epoch 47 	 Training Loss: 0.0011903654
Validation Epoch: 47 	 Loss: 0.0012166740
Epoch 48 	 Training Loss: 0.0011545096
Validation Epoch: 48 	 Loss: 0.0011594687
Epoch 49 	 Training Loss: 0.0011287923
Validation Epoch: 49 	 Loss: 0.0012266567
Epoch 50 	 Training Loss: 0.0010892118
Validation Epoch: 50 	 Loss: 0.0010727841
Epoch 51 	 Training Loss: 0.0010624571
Validation Epoch: 51 	 Loss: 0.0011168252
Epoch 52 	 Training Loss: 0.0010170814
Validation Epoch: 52 	 Loss: 0.0010247498
Epoch 53 	 Training Loss: 0.0009695243
Validation Epoch: 53 	 Loss: 0.0010016210
Epoch 54 	 Training Loss: 0.0009668273
Validation Epoch: 54 	 Loss: 0.0010369754
Epoch 55 	 Training Loss: 0.0010058039
Validation Epoch: 55 	 Loss: 0.0011103817
Epoch 56 	 Training Loss: 0.0009565359
